S.NO,KEYWORDS,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00
1,super speciality hospital in gurugram,16.0,21.0,5.0,9.0,5,8,10
2,heart centre in gurugram,10.0,17.0,14.0,11.0,10,7,6
3,cardiology hospital in gurugram,22.0,19.0,15.0,20.0,14,13,12
4,Heart care hospital in gurugram ,15.0,17.0,13.0,16.0,20,17,13
5,best hospital in gurugram,21.0,27.0,16.0,23.0,19,11,
6,24/7 emergency care hospital in gurugram,,,,,40+,40+,20+
